Username,Location,Date,Content,Rating,Title,Experience_date
francesca,IT,17 giu 2024,Stefania è stata paziente chiara veloce ed esaustiva: perfetta! Grazie,5,Stefania è stata paziente chiara veloce…,17 giugno 2024
Filippo,IT,15 giu 2024,"Chiara grazie competente e veloce, attivazione in pochi passi e molto trasparenti come prezzi",5,Grazie attivazione veloce,15 giugno 2024
Valeria Z,IT,15 giu 2024,Claudia molto efficiente e paziente. Operatrice professionale e chiara.,5,Claudia molto efficiente e paziente,15 giugno 2024
Cristina Giannini,IT,15 giu 2024,Servizio clienti gentile e disponibile.,5,Servizio clienti disponibile e gentile,15 giugno 2024
Mario,IT,15 giu 2024,Gentilezza e professionalità,5,Gentilezza e professionalità,15 giugno 2024
cliente,IT,15 giu 2024,"Precisione, correttezza e professionalità",5,Precisione,15 giugno 2024
Manlio Scopigno,IT,15 giu 2024,"Assistenza chiara, educata, disponibile.",5,Assistenza chiara,15 giugno 2024
Emilio,IT,15 giu 2024,Appena aderito con grandi aspettative di risparmio,5,Appena aderito con grandi aspettative…,15 giugno 2024
Chiara selvaggia Basta,IT,15 giu 2024,"Mariagrazia è stata stupenda
Gentile, paziente e simpatica",5,Mariagrazia è stata stupenda,15 giugno 2024
MARIANO LO COCO,IT,15 giu 2024,Prodotto trasparente come il pesonale disponibile alle esigenze del cliente,5,Prodotto trasparente come il pesonale…,15 giugno 2024
franco,IT,14 giu 2024,Professionalità e gentilezza,5,Professionalità e gentilezza,13 giugno 2024
Diego Fumagalli,IT,14 giu 2024,COnsulente efficiente e precisa. COnsigliato!,5,COnsulente efficiente e precisa,14 giugno 2024
Christian Rocco,IT,14 giu 2024,"Operatore chiaro , veloce e cordiale",5,Operatore chiaro e efficiente,14 giugno 2024
Andrea Zauli,IT,14 giu 2024,Personale competente velocità nel risolvere i problemi del cliente tariffe vantaggiose,5,ottima disponibilità,14 giugno 2024
vinc,IT,14 giu 2024,Ho molto apprezzato la disponibilità e la chiarezza espositiva della persona contattata con cui poi ho stipulato i contratti di luce e gas,5,Ho molto apprezzato la disponibilità e…,14 giugno 2024
Paolo Parachini,IT,14 giu 2024,"gentilezza e competenza. l'operatore fabrizio e' stato molto veloce, gentile e competente",5,gentilezza e competenza,14 giugno 2024
Gianluca Basile,IT,14 giu 2024,"Chiamando il Numero verde, ho avuto la possibilità di confrontarmi direttamente con l'operatore, gentile, disponibile, aiutandomi a scegliere la miglior soluzione. Entusiasta.",5,Ottima scelta,14 giugno 2024
Max,IT,14 giu 2024,"Metodo rapido e semplice,la parte del cambio fornitore risulta chiara con buona impostazione",5,"Metodo rapido e semplice,la parte del…",14 giugno 2024
Alessia,IT,14 giu 2024,Operatrice molto gentile e disponibile. Attenta ad ogni mia richiesta di informazione,5,Operatrice molto gentile e disponibile,14 giugno 2024
Alberto Capella,IT,14 giu 2024,Ottima interazione con il cliente. Gentilezza e cortesia apprezzabili,5,Ottima interazione con il cliente,14 giugno 2024
Luigi,IT,14 giu 2024,Sia tramite sito che tramite call center mi sembra tutto molto semplice e le informazioni sono chiare,5,Tutto molto semplice,14 giugno 2024
richi,IT,14 giu 2024,tutto ok attendo attivazione,5,bene,14 giugno 2024
mara,IT,14 giu 2024,"Tariffe interessanti, front office cliente cortese e qualificato.",5,Cortesia e efficienza,14 giugno 2024
Controllo qualità Ufficiale,IT,14 giu 2024,Ho chiamato per avere informazioni. C'è stata cordialità e supporto fin da subito. La gestione dell'attivazione delle utenze è stata semplice e veloce. Grazie,5,Ho chiamato per avere informazioni,14 giugno 2024
Mariadele,IT,14 giu 2024,"Gentilezza e professionalità, ringrazio tanto la sig.ra Mariagrazia",5,Gentilezza e professionalità,14 giugno 2024
Laura G.,IT,14 giu 2024,N/A,5,ottimo approccio e persone gentili,14 giugno 2024
Nadia Riccioli,IT,14 giu 2024,attivazione contratto online estremamente semplice!!!,5,tutto molto semplice,14 giugno 2024
Cliente romana,IT,14 giu 2024,N/A,5,VELOCE E SEMPLICE,14 giugno 2024
cristina santacroce,IT,14 giu 2024,Ottima esperienza,5,Ottima esperienza,13 giugno 2024
andrea pirri,IT,14 giu 2024,La professionalità e gentilezza di Ilenia.. speriamo bene,5,Cliente,13 giugno 2024
Niccolò Guglielmi,IT,Aggiornata il 14 giu 2024,"Ottima. Veloce. Rapida. Senza domande o quesiti contraddittori o che potessero indurre in fraintendimento.

Grazie mille per la vostra risposta. Colgo l'occasione per far seguito al vostro suggerimento. E di nuovo manifesto il mio gradimento a esser entrato a far parte della Community in Sorgenia!",4,Ottima,13 giugno 2024
Veronica Cicchella,IT,13 giu 2024,ottimo servizio e facile procedure per l'attivazione,5,ottimo servizio e facile procedure per…,13 giugno 2024
Silvana Marini,IT,13 giu 2024,Semplice. Pratico conveniente,5,Semplice,13 giugno 2024
Katia Magistroni,DE,13 giu 2024,"Tutto molto semplice e facile! Maria è stata gentilissima!
Katia&Max",5,Tutto molto semplice e facile,13 giugno 2024
Andrea,IT,13 giu 2024,"Offerta valida.
Personale preparato, educato e disponibile",5,Offerta valida.,13 giugno 2024
Simona Mele,IT,13 giu 2024,N/A,5,Cortesia e attenzione al cliente,13 giugno 2024
Paolo,IT,13 giu 2024,"servizio ottimo con Claudia, mi ha guidato alla sottoscrizione con gentilezza e disponibilità.",5,servizio ottimo,13 giugno 2024
Gippi,IT,13 giu 2024,"Operatore Domenico molto chiaro, rapido ed efficiente.
La procedura è stata semplice e scorrevole.
Ottima impressione",5,Operatore Domenico molto chiaro,13 giugno 2024
christian,IT,13 giu 2024,Professionalità e gentilezza dell'operatrice che mi ha assistito per l'attivazione del contratto. Convenienza nella fornitura.,5,Professionalità e gentilezza…,13 giugno 2024
Alma,IT,13 giu 2024,Ottimo servizio! La professionalità e la disponibilità strepitose.,5,Ottimo servizio,13 giugno 2024
Massimo Lecco,IT,13 giu 2024,N/A,5,Sempre perfetti e chiari,13 giugno 2024
Alessandra Bertoli,IT,13 giu 2024,"Servizio clienti fantastico! app e lettura bollette facili da capire, consigliatissimo.",5,Ottimo servizio,13 giugno 2024
franco,IT,13 giu 2024,"L'operatrice, capace, esaustiva,di facile comprensione esperta nel suo lavoro etc. etc.",5,L'operatrice,12 giugno 2024
Emiliano Renzi,IT,13 giu 2024,"GENTILI E PROFESSIONALI, FACILE GESTIONE DEL TUTTO COMPLIMENTI SORGENIA....!!!!",5,GENTILI E PROFESSIONALI,13 giugno 2024
STEFANIA,IT,13 giu 2024,"Operatrice molto gentile, paziente e preparata",5,Operatrice molto gentile,13 giugno 2024
G P,IT,13 giu 2024,"Iter semplice, personale gentile e chiaro nelle spiegazioni.",5,Chiarezza e semplicità,13 giugno 2024
Paolo C.,IT,13 giu 2024,Un grazie a Simona per la gentilezza e professionalità dimostrata! Davvero complimenti!!,5,Un grazie a Simona per la gentilezza e…,13 giugno 2024
cliente,IT,13 giu 2024,Semplice veloce ed operatrice gentilissima!,5,Semplice veloce ed operatrice…,13 giugno 2024
Chiara Nuzzaci,IT,13 giu 2024,Personale corretto e cordialissimo. Menzione particolare per Alessia e Emilia!,5,Personale corretto e cordialissimo,12 giugno 2024
Fedra Baldi,IT,12 giu 2024,Vedremo se l'offerta proposta è davvero conveniente come descritto.,5,luce+gas+fibra,12 giugno 2024
Maria Luisa,IT,12 giu 2024,"Puntuali, gentili e professionali.",5,Professionali,12 giugno 2024
Giambatista Pace,IT,12 giu 2024,Appena eseguita voltura contratto luce e gas. Operatrice competente e gentilissima,5,Appena eseguita voltura contratto luce…,12 giugno 2024
Silvia Bertolotti,IT,12 giu 2024,"Operatore professionale, competente e molto paziente",5,Operatore professionale,12 giugno 2024
Gianluca Gazze,IT,12 giu 2024,"Sono stato seguito passo passo per fare un subentro, ci hanno lavorato 2 giorni per avere la certezza che fosse possibile fare l'allacciamento, (altri operatori avrebbero tagliato corto pur di accaparrarsi un nuovo cliente). Da consigliare per quanto riguarda il servizio clienti. Top",5,"Subentro, seguito alla perfezione",12 giugno 2024
Vita CST,IT,12 giu 2024,N/A,5,Tutto chiaro e semplice consigliato !,12 giugno 2024
Virginia Benati,IT,12 giu 2024,"Abbiamo fatto il passaggio a sorgenia da un’altra compagnia e ci ha servito Fausto, lo abbiamo trovato molto chiaro gentile e disponibile.
Grazie e a presto",5,Abbiamo fatto il passaggio a sorgenia…,12 giugno 2024
patrizia brega,IT,12 giu 2024,operatore Fausto educato disponibile ed efficiente,5,operatore Fausto educato disponibile ed…,12 giugno 2024
Alessandro Galardini,IT,12 giu 2024,contatto chiaro nell'esposizione del problema verificatosi in precedenza; efficiente e risolutiva la risposta,5,chiarezza ed efficienza,12 giugno 2024
Myo Annunziata,IT,12 giu 2024,Pratica di attivazione luce/gas veloce e semplice,5,Pratica di attivazione luce/gas veloce…,12 giugno 2024
Giada Sargentoni,IT,12 giu 2024,"operatore molto bravo, veloce e competente.",5,operatore molto bravo,12 giugno 2024
Carola Carboni,IT,12 giu 2024,N/A,5,Molto gentile,12 giugno 2024
Martina Temporali,IT,12 giu 2024,Customer Care gentilissimo e disponibile. Ero già stata loro cliente e sono davvero molto competitivi (parlo di offerta luce). Mi ha aiutato ad attivare il nuovo contratto! Compagnia Green e davvero sul pezzo. Secondo me ad oggi i migliori sul mercato libero!,5,Sorgenia offerta luce top,12 giugno 2024
Stefano Antonio Zagarese,IT,12 giu 2024,"Operatore cortese e molto preciso nella spiegazione, operazione mto veloce.",5,Operatore cortese e molto preciso nella…,12 giugno 2024
ROBERTO DE FUSCO,IT,12 giu 2024,Cordialità e chiarezza delle informazioni ricevute,5,Passaggio a sorgenia,11 giugno 2024
Andrea Vlad,IT,12 giu 2024,"Bravissima e preparata su tutto, ho fatto il cambio velocemente. Ottimo lavoro",5,Bravissima e preparata su tutto,12 giugno 2024
mauro,IT,12 giu 2024,N/A,5,gentilezza chiarezza e competenza,12 giugno 2024
Giovanni,IT,11 giu 2024,"Ottimo servizio, molto gentili e preparati",5,Ottimo servizio,11 giugno 2024
Daniele Luchini,IT,11 giu 2024,La sig.ra del call center e stata molto esaustiva e gentile. Grazie,5,La sig.ra del call center e stata molto…,11 giugno 2024
Maurizio Casile,IT,11 giu 2024,"Tutto perfetto, per il momento.",5,Tutto perfetto,11 giugno 2024
christopher hein,IT,11 giu 2024,"Servizio on line trasparente, semplice, rapido ed efficace. Operatrice al numero verde - immediatamente attivo! - gentilissima, paziente, molto professionale. Ha seguito con me passo per passo il passaggio di contratto, con successo.",5,Super efficace e rapido,11 giugno 2024
giulio mari,IT,11 giu 2024,N/A,5,Serietà e professionalità,11 giugno 2024
Monia Sbizzera,IT,11 giu 2024,"moltissimo
gentile",5,moltissimo,11 giugno 2024
Roberto,IT,11 giu 2024,In pochi minuti ho risolto un problema con un contratto con un altro gestore. L'operatrice che ha gestito il mio problema era molto esperta e ha avuto pazienza e disponibilità a chiarire qualunque mio dubbio. Ho apprezzato molto la facilità con cui è stata portata a termine la transizione.,5,In pochi minuti ho risolto un problema…,11 giugno 2024
Donatella,IT,11 giu 2024,"Devo dire di aver ricevuto un'assistenza dettagliata e cordiale senza pressioni di alcun genere, lasciandomi libera di scegliere, con gentilezza e precisione",5,Finalmente un'assistenza come si deve!,11 giugno 2024
Jessica Boschini,IT,11 giu 2024,"Grazie a Marica sono riuscita finalmente a sottoscrivere i contratti di luce, gas e fibra!",5,Grazie a Marica,11 giugno 2024
Oreste Rossi,IT,11 giu 2024,N/A,5,La gentilezza della operatrice,11 giugno 2024
Subomi,IT,11 giu 2024,Sono gentili e efficaci. Si aiutano e seguono durante il processo. Spiegano anche i termini,5,Gentili e efficaci,11 giugno 2024
Andrea M.,IT,11 giu 2024,"Tutto bene, operatore chiaro e competente.",5,Tutto bene. Servizio clienti top,11 giugno 2024
Marco Mosticone,IT,11 giu 2024,N/A,5,Molto veloce,11 giugno 2024
Serena Facchini,IT,11 giu 2024,"L'operatrice Valeria è competente e disponibile, molto chiara nelle spiegazioni",5,Ottima esperienza,11 giugno 2024
Enza,IT,10 giu 2024,"Prezzi delle offerte tra i più convenienti ed un servizio clienti ( Giuseppe) molto gentile, chiaro e paziente.",5,Ottimo servizio clienti,10 giugno 2024
Filippo Merola,IT,10 giu 2024,N/A,5,Attivazione facile e veloce,10 giugno 2024
Tino Zaba,IT,10 giu 2024,Sono qui x esprimere tutto il mio disappunto dopo avere spero svariati migliaia di euro x impianto fotovoltaico ora al primo problema mi ritrovo con assistenza assente e incompetente dopo una settimana di contatti e di procedure richieste e video delle batterie sono ancora con L impianto nn funzionante e ancora in garanzia quando si tratta di incassare soldi tutti bravi e celeri quando si tratta di servizi hai clienti nn si vede nessuno,1,Sono qui x esprimere tutto il mio…,10 giugno 2024
Stefano,IT,10 giu 2024,"Domenico é stato gentile e preciso fornendomi tutti i dati e le indicazioni da me richieste .
Ottimo lavoro",5,Domenico é stato gentile e preciso…,10 giugno 2024
Irene Copelli,IT,10 giu 2024,Personale gentile competente educato altamente consigliato,5,Cambio gestore,10 giugno 2024
Ale,IT,10 giu 2024,Operatori molto gentili e collaborativi,5,Tutto bene,10 giugno 2024
Massimo Civera,IT,10 giu 2024,"La consulente a cui ho telefonato,della Sorgenia, è stata molto brava, preparata professionale, convincente.",5,Brava,10 giugno 2024
Andrea Manea,IT,10 giu 2024,N/A,5,Preparato e disponibile,10 giugno 2024
Cristian,IT,10 giu 2024,N/A,5,Competenza e gentilezza,10 giugno 2024
Pippo Felici,IT,10 giu 2024,Bravo il Sig. Fabrizio.,5,GENTILI,10 giugno 2024
Marco Cirani,IT,10 giu 2024,"Ho chiamato perché mi sono sempre trovato bene con Sorgenia, sia come servizio clienti che come costi.
Questo è il 3 contratto che faccio con loro, spero di non sbagliare.",5,Ottimo,10 giugno 2024
Leonarda Salvaggio,IT,10 giu 2024,"Operatore disponibile e molto professionale nello spiegare ogni piccolo dettaglio...sono contenta perché mi ha risolto il problema in poco tempo,ora sono più serena.grazie a Gabriele.",5,Operatore disponibile e molto…,10 giugno 2024
Nunzio,IT,10 giu 2024,N/A,5,Ottima consulente chiara e dispoinibile,10 giugno 2024
Stefano Borin,IT,10 giu 2024,"Chiara è stata molto professionale, gentile e paziente, mi ha aiutato in pochi minuti a sottoscrivere un nuovo contratto, peraltro con allacciamento e installazione contatori luce e gas.
Molto bene, continuate così! 5/5",5,Servizio TOP,10 giugno 2024
Massimo Barsanti,IT,10 giu 2024,"Sono stato contattato da una persona gentilissima e competente. In pochi minuti mi ha illustrato le modalità per cambiare gestore. Sono molto soddisfatto, avendo già un altro contratto con voi.",5,Comunicazione impeccabile Sono stato contattato da una persona…,10 giugno 2024
corrado miralli,IT,10 giu 2024,"Disponibili e cortesi, molto professionali",5,Disponibili e cortesi,10 giugno 2024
Zak MC,IT,10 giu 2024,"Ringrazio Fabrizio dell'assistenza clienti. Persona veramente esperta e soprattutto appassionata del suo lavoro. Ho lasciato WEKIWI dopo oltre 2 anni di utenza, il motivo è banale quanto grave... bollette indecifrabili e importi in coninua salita nonostante consumi in media solo 2000kw anno per uno studio professionale. Conguagli fantasma e bollette sempre in crescendo. Assistenza inesistente. Mentre con Sorgenia da una parte ho visto molta più trasparenza tariffaria e convenienza, e ho finalmente riscoperto il piacere di un essere umano che ti risponde per l'assistenza clienti e con competenza. Al momento consigliato sicuramente come operatore.",5,"Addio WEKIWI, attivato con Sorgenia e ringrazio Fabrizio dell'assistenza clienti",10 giugno 2024
Ma Khloe Sison,IT,10 giu 2024,Ho acceso tramite telefono ed e molto conveniente anche con lo sconto e offerte. È stato bravo giampaolo un consulente che mi ha aiutato con pazienza. Grazie mille!!!,5,Ho acceso tramite telefono ed e molto…,10 giugno 2024
Mufasa,IT,10 giu 2024,"Ho stipulato il nuovo contratto Sorgenia con l'operatrice di nome Chiara.
Chiara è stata precisa, cordiale e molto professionale spiegandomi il tutto in maniera semplice e intuitiva venendo incontro alle mie esigenze.
Il primo approccio con il Customer Service è stato ottimale.",5,Ho stipulato il nuovo contratto …,10 giugno 2024
Marina Melia,IT,10 giu 2024,signorina gentile e disponibile,5,gentilezza,10 giugno 2024
GIOVANNI PEDONE,IT,10 giu 2024,competente e professionale la signora Stefania,5,competente e professionale la signora…,10 giugno 2024
Andrea Ciucciarelli,IT,10 giu 2024,"l'unico servizio clienti disponibile ad attivare il contratto senza tanti problemi, cordialità",5,cordialità e disponibilità,10 giugno 2024
Gabry Gabry,IT,10 giu 2024,"Grazie per la chiarezza, la professionalità, e la gentilezza riscontrate del vostro consulente.
Buona giornata",5,Estremamene positiva,10 giugno 2024
Ylenia Giuseppina - Collegno,IT,10 giu 2024,"Tutto perfetto - Sig.ra Chiara e stata gentilissima oltre a dare tutte le spiegazione per luce e gas.
Consigliatissima.",5,Ylenia Giuseppina - Collegno,10 giugno 2024
Gabriela Gherbovetkaia,IT,10 giu 2024,N/A,5,Fantastico servizio!,10 giugno 2024
Roberto,FR,8 giu 2024,"veloce, e conveniente!.",5,veloce,08 giugno 2024
Patrizia Coslovich,IT,8 giu 2024,"cortesia, disponibilità e competenza
ottimo servizio",5,cortesia,07 giugno 2024
Aldo Carcarcone,IT,8 giu 2024,Veloce facile e cordiale,5,Veloce facile e cordiale,08 giugno 2024
Angela,IT,Aggiornata il 10 giu 2024,Buongiorno sono un po’ preoccupata perché ho stipulato un contratto in marzo e oggi mi è arrivata una chiamata da sorgenia dove mi avvisavano che il contratto fatto in sostanza va a farsi benedire e avrò un grosso aumento e’ normale e’ successo a qualcun’altro? **********aggiornamento *********. Sorgenia mi ha risposto dicendomi che nessuno di loro ma ha contattata! quindi posso stare tranquilla ci hanno provato insomma grazie,4,Codice cliente 5498242,08 giugno 2024
Eva,IT,8 giu 2024,"Tempestività, precisione e cordialità del consulente Fabrizio",5,Efficace,08 giugno 2024
Gianni Cascone,IT,8 giu 2024,Ho condiviso le difficoltà dell'inserimento dei miei dati con una operatrice (Stefania) che mi ha guidato per tutta la procedura con molta pazienza,5,Ho condiviso le difficoltà…,08 giugno 2024
Monica,IT,8 giu 2024,"Raffaella è stata fantastica
Chiara nelle spiegazioni, paziente nelle attese e disponibile nel rispiegare quanto non chiaro.
Ottima operatrice telefonica",5,Raffaella è stata fantastica,08 giugno 2024
Daniele,IT,8 giu 2024,N/A,5,disponibilità e gentilezza,08 giugno 2024
Roberto,IT,7 giu 2024,N/A,5,Tutto veloce e chiaro.,07 giugno 2024
mrco,IT,7 giu 2024,tutto chiaro,5,Ottimo operatore,07 giugno 2024
Stefano Singuaroli,IT,Aggiornata il 8 giu 2024,Suggerito da altri utenti per servizio e spese più controllate e accettabili sui reali consumi elettrici,5,Un buon inizio per cominciare a risparmiare con una società seria e spero competente,07 giugno 2024
Mario Minaldi,IT,7 giu 2024,"Nuova utenza luce, l'addetta alla stipula del nuovo contratto, sig.ra Annarita, efficiente e gentile nello svolgimento della pratica telefonica.",5,Già cliente soddisfatto,07 giugno 2024
Andrea Carrabba,IT,7 giu 2024,okokokokokokokokokok,5,ottimo,07 giugno 2024
Alessandro Cuzzocrea,IT,7 giu 2024,"Esperienza veloce e rapida, Cristina si è dimostrata capace educata ed informata, il processo è durato un nulla.",5,Esperienza veloce e formidabile,07 giugno 2024
Stefania Lombardi,IT,7 giu 2024,Super disponibile e dettagliata nello spiegare tutto.sono rimasta molto soddisfatta,5,Super disponibile e dettagliata nello…,07 giugno 2024
Maurizio Morri,IT,7 giu 2024,La ragazza e stata molto gentile e disponibile,5,La ragazza e stata molto gentile e…,07 giugno 2024
Domenico Di Caterino,IT,7 giu 2024,"Claudia il top, mi ha fatto innamorare.",5,Claudia il top,07 giugno 2024
Raffaele Silva,IT,7 giu 2024,La Signora Alessia è stata disponibilissima e molto chiara nello spiegare i vari passaggi,5,Disponibilità e semplicità,07 giugno 2024
stefania di maria,IT,7 giu 2024,"Operatore bravissimo, gentile e disponibile",5,OTTIMA,07 giugno 2024
Francesco Regia Corte,IT,7 giu 2024,"Sono rimasto sorpreso per la disponibilità e chiarezza dell'Azienda nel definire la pratica di adesione. L'aspetto migliore è stato l'apporto dell' operatrice Anna Vitella, di Segugio.it, che mi ha guidato on line nelle operazioni necessarie e tutto con pregevole competenza e assoluta gentilezza e pazienza.",5,"Disponibilità dell'Azienda e, soprattutto, competenza e pazienza della Sig.na Anna Vitella di Segugio.it",06 giugno 2024
Luciano Giacobello,IT,7 giu 2024,N/A,5,info chiare e veloce,07 giugno 2024
Marco Giorgini,IT,7 giu 2024,Ho contattato Sorgenia per un allacciamento e sono stato indirizzato con chiarezza e cortesia nelle operazioni da eseguire. Poi con il Sig. Fausto che mi ha contattato ho effettuato il nuovo contratto... devo dire che il servizio dato è stato semplicemente fantastico... chiaro... semplice e veloce. Consigliato Vivamente... ne parlerò in sede di Cantiere. Grazie ai ragazzi/e e a Sorgenia.,5,Cortesia e Semplicità... Ottimo Servizio,06 giugno 2024
Giuseppe Longanella,IT,6 giu 2024,Ottimo servizio,5,Ottimo servizio,06 giugno 2024
Michele Girelli,IT,6 giu 2024,"Sono stato contattato da un’operatrice molto cordiale e competente. Mi ha spiegato tutto in modo veloce, preciso e semplice",5,Ottima esperienza …,06 giugno 2024
Giulia Matta,IT,6 giu 2024,"Ho parlato con una ragazza preparata e gentile, risolto tutto in poco tempo",5,Competente,06 giugno 2024
Natalia,IT,6 giu 2024,Veloce ed efficiente,5,Veloce ed efficiente,06 giugno 2024
Paola Virginia,IT,6 giu 2024,"Sono felice, la differenza l'ha fatta una capace signora che prendendomi passo per passo mi ha aiutata a stipulare un contratto luce e gas.
La sorpresa è che una precedente lavoratrice (call cener Molfetta) qualche giorno prima mi ha liquidata dicendomi che nulla si poteva fare. Siccome conosco l azienda ed è il terzo contratto (3 immobili diversi) che stipula, ho voluto essere caparbia. Richiamando mi ha risposto il call di Roma, che in 48 h a risolto il problema Pod e Pun eccetera ed ha permesso la sottoscrizione! Brava competente sorridente e su tutto educatissima. Brava Selene, averne di persone così efficaci ed efficienti, lavoratori sempre all'altezza del marchio che rappresentano.",5,Selene che consulente Top!,06 giugno 2024
adriano,IT,6 giu 2024,"ho cambiato fornitura , la signora è stata gentilissima e mi ha spiegato tutto nel dettaglio",5,ho cambiato fornitura,06 giugno 2024
alessandro greco,IT,6 giu 2024,L'attivazione e stata veloce e semplice al telefono molto disponibili e cordiali speriamo andando avanti vada tutto bene per riconfermare il feedback,5,L'attivazione e stata veloce e semplice…,06 giugno 2024
Pietro,IT,6 giu 2024,Passaggio effettuato con semplicità aiutato anche dalla ragazza del call center disponibile gentile e competente. Le premesse iniziali sono ottime speriamo che proseguano anche in futuro.,5,Passaggio effettuato con semplicità…,05 giugno 2024
Michele Rossignoli,IT,6 giu 2024,"La gentilezza mostrata, l'interesse e la pazienza nel rispondere ad ogni mia domanda",5,La gentilezza mostrata,06 giugno 2024
MARIA ANGELA ZANARDELLI,IT,6 giu 2024,Sono passata a Sorgenia xchè è l'offerta a prezzo fisso migliore ottenuta,5,Sorgenia,06 giugno 2024
Giuseppe Migliorati,IT,6 giu 2024,N/A,4,Buona disponibilità e trasparenza,06 giugno 2024
Enrico G,IT,6 giu 2024,Svolgimento delle pratiche di attivazione veloci direttamente dal telefono e senza dover nemmeno aspettare per prendere la linea,5,Svolgimento delle pratiche di attivazione contatore sospeso,06 giugno 2024
Olga,IT,6 giu 2024,Siamo stati tanti anii con sorgenia mio marito chiama pero non risponde nesunno !mi dispiace pensava che sorgenia sono serii!,1,Siamo stati tanti anii con sorgenia mio…,21 maggio 2024
DILIP ROSHAN ASANSA FERNA WARNAKULASURIYA,IT,6 giu 2024,"Chiari e trasparenti, l'operatrice Francesca è stata molto efficiente e gentile.",5,Chiari e trasparenti,06 giugno 2024
Camilla Albonico,IT,6 giu 2024,"Sono molto soddisfatta della proposta dell'azienda.
La signora Francesca, che mi ha guidato nell'operazione, è stata molto gentile e disponibile, rendendo facile e veloce la richiesta di fornitura.",5,"Gentile, veloce e semplice.",06 giugno 2024
Ilaria Cavaliere,IT,6 giu 2024,"Segnalo la profgessionalità di Cristina che con grande pazienza mi ha seguito nella fase di attivazione, fornendomi tutte le informaizoni per recuperare i dati dei miei contatori (non forniti dal precedente inquilino)",5,Segnalo la profgessionalità di Cristina…,06 giugno 2024
Gianfranco Piazza,IT,6 giu 2024,gentilezza e competenza,5,gentilezza competenza,06 giugno 2024
Leonardo Menciotti,IT,6 giu 2024,Esperienza molto positiva lo consiglio i tecnici gentili affidabile e disponibilissimi istallazione ad opera d'arte,5,Esperienza molto positiva lo consiglio…,05 giugno 2024
Fabrizio,IT,6 giu 2024,N/A,5,cordiali ed educati,06 giugno 2024
Andrea Campi,IT,6 giu 2024,cortesia e disponibilità dell'operatore telefonico,5,cortesia e disponibilità dell'operatore…,06 giugno 2024
Renzo,IT,6 giu 2024,"Operatrice fantastica. Tutto chiaro e ben spiegato. Ottimo colloquio e attivazione luce, gas e fibra.",5,Operatrice fantastica,06 giugno 2024
gresia salustro,IT,6 giu 2024,"Ho trovato l’operatrice molto esaustiva e competente, mi ha accompagnato nella scelta.",5,Ho trovato l’operatrice molto esaustiva…,06 giugno 2024
Gaia Gentilini,IT,6 giu 2024,"Simona è fantastica: simpatica, gentile e soprattutto calma! Ho parlato con altri operatori molto più vivaci e questo ha reso impossibile continuare la pratica poi sono riuscita a parlare di nuovo con Simona e ho potuto fare il contratto!
Devo aggiungere che il passaggio di inserire id e password della mia banca per la verifica ha reso tutto troppo rischioso quindi consiglio un cambio di approccio per questa evenienza!",5,Simona è fantastica,06 giugno 2024
Antonio,IT,6 giu 2024,ottima esperienza Cristina del call center è stata molto gentile nel spiegarmi tutto,5,ottima esperienza Cristina del call…,06 giugno 2024
Stefania Di Giannantonio,IT,6 giu 2024,N/A,5,Ottima assistenza,06 giugno 2024
Valerio Castriziani,IT,6 giu 2024,"Purtroppo, ad oggi, non posso dare una valutazione superiore a 2 stelle.
Le prima fatture ricevute sono state emesse con consumi stimati, avevano un sovrapprezzo esagerato (non credo dipenda da loro ma da un consumo medio) in ogni caso ho inviato la mia autolettura di luce e gas.
Non basta inviarla la fine del mese, né parlare con un'operatrice al telefono, a quanto pare, dopo la chiamata di oggi, devo ricaricare l'autolettura sul sito, ""per sicurezza"".
Sto attendendo il conguaglio delle precedenti fatture già pagate (è passato un mese dalla mia segnalazione), mentre ricevo quelle nuove da saldare in maniera regolare.

Rispondono rapidamente al telefono ma c'è poca chiarezza tra gli operatori, devo raccontare sempre la stessa storia e ottengo risposte diverse, mai allineate.
Cerco un po' di chiarezza da questa società, cosa che finora non mi è stata data, altrimenti mi trovo costretto a cambiare operatore per le mie utenze.",2,Totalmente insoddisfatto dei primi mesi con Sorgenia,06 giugno 2024
Fabrizio Greco,IT,6 giu 2024,"Chiarezza, rapidità.",5,Chiarezza,06 giugno 2024
Mauro Ballarin,IT,6 giu 2024,"Esperienza relativa alla conoscenza online delle condizioni di offerta, del contratto e della compilazione dei dati per attivare la fornitura: servizio ineccepibile, conveniente chiarissimo, semplice, nessuna zona opaca: specificate anche le clausole potenzialmente vessatorie del contratto. Speriamo che le promesse vengano mantenute.",5,Chiarezza ai massimi livelli,20 marzo 2024
Pietro Ghidoni,IT,6 giu 2024,Veloci come la fibra che viene installata! Ed estremamente disponibili per assistenza telefonica!,5,Veloci...,05 giugno 2024
Pietro,IT,6 giu 2024,La semplicità con cui l'operatore mi ha spiegato le varie procedure da seguire e dalla professionalità nel raccogliere i dati e attivarmi il servizio,5,La semplicità con cui l'operatore mi ha…,05 giugno 2024
lyllas roca,IT,5 giu 2024,N/A,5,Professionali e gentili,05 giugno 2024
Davide D'Angelo,IT,5 giu 2024,N/A,5,Chiari e professionali,05 giugno 2024
Rossana Gotti,IT,5 giu 2024,Offerta top e personale preparato e gentile!,5,Offerta top,05 giugno 2024
